candidate_id,official_name,acronym,homepage_url,candidacy_reason,presumed_research_areas,presumed_geographic_coverage,presumed_resource_type,possible_duplication,initial_evidence,evidence_status,priority,decision,review_status,added_date,notes
CAND0011,Emergency Events Database,EM-DAT,https://www.emdat.be/,"Base internacional de desastres e impactos humanos e econômicos, relevante para extremos climáticos, vulnerabilidade e mortalidade",Disaster epidemiology | Climate extremes | Mortality | Population impacts | Risk analysis,global,disaster_database | event_repository,"Pode sobrepor inventários nacionais e DesInventar; critérios de inclusão, unidade de evento e revisão produzem contagens diferentes","Documentação oficial de escopo, critérios e acesso revisada em 2026-07-22; cobertura desde 1900 e acesso aberto para usos não comerciais",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar como complemento internacional. Comparar com registros brasileiros e documentar critérios de inclusão."
CAND0012,DesInventar Sendai,DesInventar,https://www.desinventar.net/,"Plataforma e conjunto de inventários de perdas e danos por desastres com potencial detalhamento subnacional",Disaster risk | Climate extremes | Mortality | Local impacts | Sendai Framework,global com cobertura desigual por país e base,disaster_inventory_platform | event_database | publishing_software,"Pode sobrepor EM-DAT e inventários nacionais; cobertura, critérios e unidade de evento variam por base","Documentação oficial da plataforma UNDRR e do software aberto revisada em 2026-07-22; inventários e disponibilidade precisam ser avaliados por país/base",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar como plataforma ou federação somente após confirmar a base brasileira específica."
CAND0013,SciELO Data,SciELO Data,https://data.scielo.org/,"Repositório multidisciplinar de preservação e disseminação de dados relacionados a artigos e preprints da Rede SciELO",Scientific data | Ecology | Public health | Multidisciplinary research | Open science,América Latina com forte cobertura brasileira,scientific_data_repository | dataverse_instance,"Datasets podem existir também em Zenodo, Figshare ou repositórios institucionais; DOI, versão e relação com o artigo devem ser preservados","Página e coleções oficiais do SciELO Data revisadas em 2026-07-22; repositório baseado em Dataverse com datasets versionados e DOI",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-20,"Fonte prioritária pela governança e forte cobertura brasileira. Usar enumeração externa em vez de copiar todo o repositório."
CAND0014,Zenodo,Zenodo,https://zenodo.org/,"Repositório multidisciplinar para dados, software e outros produtos científicos com DOI, versões, comunidades, API e colheita de metadados",Scientific data | Open science | Multidisciplinary research | Environmental sciences,global,scientific_data_repository | data_api,"Pode hospedar cópias ou versões de datasets disciplinares e lançamentos do GitHub; distinguir DOI de conceito, DOI de versão e provedor original","Documentação oficial da REST API, OAI-PMH, versões, licenças e DOI revisada em 2026-07-22",official_documentation_reviewed,baixa,incluir,decisão_registrada,2026-07-20,"Aprovar como repositório geral secundário. Fontes brasileiras e repositórios nacionais têm precedência na expansão."
CAND0015,Harvard Dataverse,Harvard Dataverse,https://dataverse.harvard.edu/,"Repositório acadêmico multidisciplinar com datasets, metadados ricos, versionamento, DOI e APIs Dataverse",Scientific data | Social sciences | Public health | Environment | Multidisciplinary research,global,scientific_data_repository | dataverse_instance,"Pode conter datasets replicados em outras instâncias Dataverse ou repositórios; distinguir a instância, o dataverse, o dataset e a versão","Documentação oficial atual do software Dataverse e APIs revisada em 2026-07-22; a instância Harvard permanece um repositório com governança própria",official_documentation_reviewed,baixa,incluir,decisão_registrada,2026-07-20,"Aprovar como instância específica e secundária; não priorizar sobre SciELO Data e repositórios brasileiros."
CAND0016,Registry of Research Data Repositories,re3data,https://www.re3data.org/,"Registro internacional estruturado para descobrir repositórios por disciplina, país, acesso, identificadores e certificação",Scientific data | Research infrastructure | Repository discovery | Open science,global,repository_registry | discovery_platform | metadata_api,"Não hospeda os dados e aponta para repositórios que podem já estar no catálogo; não deve ser contado como provedor de datasets","Documentação oficial do registro, esquema, API, licenças e DOI revisada em 2026-07-22",official_documentation_reviewed,baixa,incluir,decisão_registrada,2026-07-20,"Aprovar como meta-fonte auxiliar para localizar repositórios brasileiros; não tratar como fonte ambiental primária."
CAND0017,Sistema Nacional de Informações Tóxico-Farmacológicas,SINITOX,https://sinitox.icict.fiocruz.br/,"Fonte brasileira potencial para intoxicações, envenenamentos e acidentes envolvendo animais peçonhentos",Public health | Toxicology | Human-wildlife incidents | Epidemiology,nacional — Brasil,health_surveillance_database | statistical_portal,"Pode sobrepor notificações do SINAN e mortalidade do SIM; definições, cobertura dos centros e subnotificação devem ser comparadas","O domínio institucional foi identificado, mas permaneceu indisponível durante a revisão de 2026-07-22 e não foi possível confirmar séries atuais, downloads ou atualização",insufficient_evidence,alta,aguardar_evidência,revisão_de_elegibilidade,2026-07-20,"Fonte brasileira prioritária, mas não aprovar nem excluir sem documentação atual sobre situação institucional, último ano, formatos e cobertura dos CIATox."
CAND0018,PAHO ENLACE Data Portal,PAHO ENLACE,https://www.paho.org/en/enlace,"Portal regional de indicadores de doenças, mortalidade, lesões, fatores de risco, nutrição e saúde nas Américas",Epidemiology | Public health | Demography | Climate and health | Risk factors,Américas,regional_health_indicator_portal | visualization_platform,"Pode republicar estimativas da OMS e dados nacionais; fonte, método e natureza estimada devem ser preservados por indicador","Página oficial, notas sobre fontes e função de download por visualização revisadas em 2026-07-22",official_documentation_reviewed,média,incluir,decisão_registrada,2026-07-20,"Aprovar como portal regional complementar; dados nacionais brasileiros originais recebem prioridade."
CAND0019,Brazil Data Cube,Brazil Data Cube,https://data.inpe.br/bdc/,"Infraestrutura brasileira de cubos de dados de observação da Terra, coleções harmonizadas, mosaicos e produtos de uso e cobertura da terra",Remote sensing | Land cover | Agriculture | Forests | Environmental monitoring,nacional — Brasil,earth_observation_data_cube | geospatial_catalog | STAC API,"Pode sobrepor cenas e produtos acessíveis por Copernicus, Earthdata, TerraBrasilis, MapBiomas e Google Earth Engine; preservar coleção, sensor, processamento e versão","Portal oficial do INPE, documentação do catálogo e serviços STAC revisados em 2026-07-24; a infraestrutura organiza séries de observação da Terra e produtos derivados para o Brasil",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. Produtos devem separar coleções harmonizadas, mosaicos, cubos e classificações, com resolução, período, nível de processamento e serviço de acesso."
CAND0020,Sistema Nacional de Informações Florestais,SNIF,https://snif.florestal.gov.br/,"Sistema oficial brasileiro de informações sobre florestas, recursos florestais, produção, manejo, conservação e Inventário Florestal Nacional",Forestry | Biodiversity | Carbon | Land use | Environmental policy,nacional — Brasil,forest_information_system | statistical_portal | geospatial_data_source,"Pode sobrepor dados do Inventário Florestal Nacional, Serviço Florestal Brasileiro, dados.gov.br, MapBiomas e sistemas estaduais; preservar programa e produto original","Portal oficial do Serviço Florestal Brasileiro, painéis e conjuntos do Inventário Florestal Nacional revisados em 2026-07-24",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. Representar separadamente IFN, estatísticas florestais, concessões, manejo e demais famílias de produtos."
CAND0021,Flora e Funga do Brasil,Flora e Funga do Brasil,https://ipt.jbrj.gov.br/jbrj/resource?r=lista_especies_flora_brasil,"Base taxonômica oficial e continuamente atualizada de plantas, algas e fungos do Brasil, com distribuição, endemismo e estados de conservação",Botany | Mycology | Taxonomy | Biodiversity | Conservation,nacional — Brasil,taxonomic_database | checklist | Darwin Core archive,"Pode aparecer em GBIF, SiBBr e speciesLink; preservar a autoria taxonômica, a versão e o Jardim Botânico do Rio de Janeiro como provedor original","Recurso oficial do JBRJ revisado em 2026-07-24; disponibiliza versão datada, atualização frequente e arquivo Darwin Core sob CC BY 4.0",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. Registrar versão ou data de extração e distinguir nome aceito, ocorrência, distribuição e estado de conservação."
CAND0022,GeoInfo Embrapa,GeoInfo,https://geoinfo.dados.embrapa.br/catalogue/,"Infraestrutura de dados espaciais da Embrapa para mapas, camadas, levantamentos e resultados geoespaciais agroambientais",Agriculture | Soils | Land use | Climate | Geospatial information,nacional — Brasil,geospatial_catalog | spatial_data_infrastructure | OGC services,"Pode sobrepor dados do Geoportal da INDE, órgãos estaduais, IBGE e publicações da Embrapa; preservar unidade da Embrapa, autoria e produto","Catálogo oficial GeoInfo e documentação institucional revisados em 2026-07-24; oferece busca, metadados, downloads e serviços geoespaciais conforme a camada",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. Escala, resolução, licença e atualização devem ser descritas por camada ou produto."
CAND0023,Sistema de Informações de Águas Subterrâneas,SIAGAS,https://siagasweb.sgb.gov.br/layout/,"Sistema oficial brasileiro de cadastro, consulta e dados de poços e águas subterrâneas",Hydrogeology | Water resources | Geology | Environmental planning,nacional — Brasil,groundwater_information_system | well_database | geospatial_portal,"Pode sobrepor cadastros estaduais e dados do SNIRH; identidade do poço, responsável, data e consistência precisam ser preservadas","Portal oficial do Serviço Geológico do Brasil e documentação do SIAGAS revisados em 2026-07-24",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. Produtos devem distinguir cadastro de poços, parâmetros hidrogeológicos, análises e formas de exportação."
CAND0024,Sistema de Monitoramento da Costa Brasileira,SiMCosta,https://www.simcosta.furg.br/,"Rede brasileira de observação costeira e oceânica com boias, estações e séries meteorológicas e oceanográficas",Oceanography | Coastal ecosystems | Climate | Water quality | Marine monitoring,costa brasileira,coastal_observing_system | sensor_network | time_series_repository,"Pode sobrepor dados de redes internacionais, Marinha, INMET e projetos locais; preservar plataforma, sensor, calibração e nível de processamento","Portal oficial do SiMCosta e documentação de acesso e estações revisados em 2026-07-24",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. Registrar estação ou boia, variável, profundidade, frequência, controle de qualidade e período efetivo."
CAND0025,Sistema de Estimativas de Emissões e Remoções de Gases de Efeito Estufa,SEEG,https://plataforma.seeg.eco.br/,"Plataforma brasileira de estimativas de emissões e remoções de gases de efeito estufa por setor, gás, estado e município",Climate change | Carbon | Emissions | Land use | Public policy,nacional — Brasil,emissions_database | indicator_platform | data_download,"Pode sobrepor inventários oficiais do SIRENE e dados setoriais; distinguir estimativa independente, edição, método e fonte primária","Plataforma e documentação metodológica oficial do SEEG revisadas em 2026-07-24; oferece séries, visualizações e downloads de estimativas brasileiras",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima como estimativa independente. Não apresentar como substituto do inventário oficial; registrar edição, setor, gás, território e método."
CAND0026,Programa de Pesquisa em Biodiversidade,PPBio,https://ppbio.inpa.gov.br/,"Programa brasileiro de pesquisa e infraestrutura para inventários, monitoramento e dados de biodiversidade em redes de sítios e parcelas",Biodiversity | Ecology | Forests | Long-term monitoring | Research infrastructure,Brasil com redes e sítios regionais,biodiversity_research_network | monitoring_program | data_infrastructure,"Pode sobrepor datasets publicados em SiBBr, GBIF, speciesLink, DataONE ou repositórios institucionais; preservar projeto, sítio, protocolo e depósito original","Portal oficial do PPBio, estrutura de redes, protocolos e informações de dados revisados em 2026-07-24",official_documentation_reviewed,alta,incluir,decisão_registrada,2026-07-24,"Fonte brasileira de prioridade máxima. A inclusão deve separar infraestrutura, protocolos, sítios e datasets, evitando dupla contagem com agregadores."
