resource_id,audit_verdict,issue_classes,required_action,official_evidence
DR0035,C3_broadly_supported,scope,Keep; explicitly note the hosted-index exception and classify as guidance/catalogue.,https://climatedataguide.ucar.edu/climate-data
DR0036,C1_material_error,authentication;access_conditions,Set authentication yes and document token/request workflow.,https://roots.ornl.gov/
DR0037,C1_material_error,api_status;programmatic_access,Mark REST API unavailable/paused; keep WCS/WebDAV as stable routes and add service-status date.,https://docs.isric.org/globaldata/soilgrids/index.html
DR0038,C1_material_error,protocols;license,Replace protocols with GraphQL/WFS and accurately model source-license restrictions.,https://docs.isric.org/globaldata/wosis/faq-wosis.html
DR0039,C3_broadly_supported,scope,"Keep, but ensure UI type makes software/tool status prominent.",https://www.gbif.org/ipt
DR0040,C3_broadly_supported,version;access,Keep; add current version and separate public versus restricted access.,https://www.try-db.org/
DR0041,C2_partial_or_overgeneralized,freshness;temporal_coverage,Record source snapshot dates and distinguish database release from observation date.,https://bien.nceas.ucsb.edu/bien/data-and-access/
DR0042,C3_broadly_supported,license_mix,Keep; preserve per-site DOI/license and account requirement.,https://ameriflux.lbl.gov/data/aboutdata/
DR0043,C2_partial_or_overgeneralized,collection_status;license,Create separate current-Shuttle and legacy-collection products; update access and license statements.,https://fluxnet.org/data/
DR0044,C2_partial_or_overgeneralized,authentication;provider_license,Keep authentication partial; link API auth docs and inherit provider/license per layer.,https://data-api.globalforestwatch.org/
DR0045,C2_partial_or_overgeneralized,license;downloads;product_scope,"Record exact data-use terms and split country emissions, budgets and city products.",https://globalcarbonatlas.org/project/data-use/
DR0046,C2_partial_or_overgeneralized,formats;license;product_scope,Correct license and exact formats; preserve dataset edition/gas/sector/granularity.,https://edgar.jrc.ec.europa.eu/dataset_ghg2025
DR0047,C3_broadly_supported,authentication_by_service,Keep; model authentication per distribution rather than one source-level boolean.,https://documentation.dataspace.copernicus.eu/APIs.html
DR0048,C2_partial_or_overgeneralized,transition;authentication;availability,Record transitional interfaces and project-specific access controls; avoid a single stable access claim.,https://esgf.github.io/software.html
DR0049,C3_broadly_supported,formats,Keep; expand protocols/formats and inherit dataset access from sites/repositories.,https://deims.org/docs/export.html
DR0050,C1_material_error,authentication;license,Set authentication yes for data access; distinguish discovery from download and dataset-specific restrictions.,https://daac.ornl.gov/sign_in.shtml
DR0051,C3_broadly_supported,scope;license,Keep with explicit bibliometric type; state non-open database and exact Carbon Brief reuse terms.,https://interactive.carbonbrief.org/cosmos/methodology/index.html
